    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    9   11        21   19        1.86447         85.817         92.208          -11.828          -12.069         0.14142E+00    0.19627E+00    1
   10   12        22   20        1.84207         72.778         78.046          -12.154          -12.400         0.14142E+00    0.19478E+00    1
   11   13        23   21        1.86230         60.866         64.501          -12.591          -12.749         0.14142E+00    0.17651E+00    1
   12   14        24   22        1.71862         50.559         52.815          -13.109          -12.959         0.14142E+00    0.15940E+00    1
    1    3        15   13        0.22359        143.425        144.288          -11.695          -11.551         0.14142E+00    0.16382E+00    1
    2    4        16   14        0.63309        130.282        132.348          -11.882          -11.845         0.14142E+00    0.15761E+00    1
    3    5        17   15        1.36315        117.037        120.453          -12.091          -12.079         0.14142E+00    0.14527E+00    1
    4    6        18   16        1.76312        103.164        108.001          -12.334          -12.271         0.14142E+00    0.16120E+00    1
    5    7        19   17        2.10611         90.473         96.510          -12.569          -12.447         0.14142E+00    0.17513E+00    1
    6    8        20   18        2.43936         77.683         84.605          -12.856          -12.666         0.14142E+00    0.18706E+00    1
    7    9        21   19        2.67886         65.656         72.698          -13.207          -12.944         0.14142E+00    0.19502E+00    1
    8   10        22   20        2.51806         55.184         61.093          -13.650          -13.268         0.14142E+00    0.20099E+00    1
    9   11        23   21        2.39718         45.761         49.797          -14.255          -13.621         0.14142E+00    0.18775E+00    1
   10   12        24   22        1.91774         37.751         40.026          -14.967          -13.855         0.14142E+00    0.17470E+00    1
    1    3        17   15        0.97175        102.628        105.701          -12.987          -12.370         0.14142E+00    0.17422E+00    1
    2    4        18   16        1.39805         90.654         94.873          -13.350          -12.806         0.14142E+00    0.18036E+00    1
    3    5        19   17        1.69610         79.984         85.157          -13.707          -13.147         0.14142E+00    0.19223E+00    1
    4    6        20   18        2.05193         69.143         75.046          -14.117          -13.460         0.14142E+00    0.19981E+00    1
    5    7        21   19        2.52449         58.710         64.909          -14.574          -13.788         0.14142E+00    0.19939E+00    1
    6    8        22   20        2.63217         49.577         54.917          -15.106          -14.129         0.14142E+00    0.19713E+00    1
    7    9        23   21        2.38390         41.709         45.417          -15.756          -14.443         0.14142E+00    0.18901E+00    1
    8   10        24   22        1.69946         35.062         37.163          -16.478          -14.554         0.14142E+00    0.18505E+00    1
    1    3        19   17        1.27908         74.325         78.444          -14.581          -13.345         0.14142E+00    0.20533E+00    1
    2    4        20   18        1.51239         65.850         70.740          -15.024          -13.889         0.14142E+00    0.21763E+00    1
    3    5        21   19        1.75308         57.980         63.147          -15.478          -14.362         0.14142E+00    0.22066E+00    1
    4    6        22   20        1.83633         51.062         55.284          -15.956          -14.758         0.14142E+00    0.20799E+00    1
    5    7        23   21        1.61277         44.748         47.368          -16.491          -15.049         0.14142E+00    0.18782E+00    1
