    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   47   28        53   30        0.83967         15.868         16.548           -2.577           -2.518         0.22361E+00    0.22361E+00    0
   43   23        53   31        0.08043         11.396         11.442           -2.741           -2.719         0.22361E+00    0.22361E+00    0
   45   24        53   31        1.23013          9.917         10.546           -2.592           -2.695         0.22361E+00    0.22361E+00    0
   46   26        53   31        0.84051         12.706         12.184           -2.576           -2.615         0.22361E+00    0.22361E+00    0
   47   28        53   31        0.18915         15.285         15.141           -2.519           -2.539         0.22361E+00    0.22361E+00    0
   49   29        53   31        0.52265         15.252         14.858           -2.536           -2.532         0.22361E+00    0.22361E+00    0
   43   23        53   32        1.45827         11.909         10.989           -2.708           -2.784         0.22361E+00    0.23471E+00    1
   45   24        53   32        1.15259          9.142          9.685           -2.736           -2.755         0.22361E+00    0.22361E+00    0
   46   26        53   32        0.15469         11.246         11.160           -2.717           -2.658         0.22361E+00    0.22361E+00    0
   47   28        53   32        0.11725         13.770         13.851           -2.606           -2.569         0.22361E+00    0.22361E+00    0
   49   29        53   32        0.47500         12.488         12.788           -2.685           -2.572         0.22361E+00    0.22361E+00    0
   50   30        53   32        0.35832         15.734         15.455           -2.484           -2.549         0.22361E+00    0.22361E+00    0
   43   23        53   33        0.30646         10.315         10.474           -2.875           -2.865         0.22361E+00    0.22361E+00    0
   45   24        53   33        0.12255          8.832          8.778           -2.858           -2.830         0.22361E+00    0.22361E+00    0
   46   26        53   33        0.42037          9.869         10.078           -2.757           -2.710         0.22361E+00    0.22361E+00    0
   47   28        53   33        1.11279         11.774         12.448           -2.602           -2.604         0.22361E+00    0.22361E+00    0
   49   29        53   33        1.46700          9.893         10.751           -2.541           -2.622         0.22361E+00    0.23807E+00    1
   50   30        53   33        1.39048         12.657         13.732           -2.633           -2.593         0.22361E+00    0.24211E+00    1
   43   23        53   35        1.01687          9.915          9.424           -3.064           -3.062         0.22361E+00    0.22361E+00    0
