    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   53   57        55   59        0.07105        172.564        172.269          -13.500          -12.250         0.17321E+00    0.17321E+00    0
   54   58         5    9        0.71565        506.789        492.666          -14.000          -12.025         0.17321E+00    0.19906E+00    1
   54   58         6   10        0.71066        565.289        549.385          -12.700          -10.628         0.17321E+00    0.20074E+00    1
   58   54        51   55        0.25335        491.136        487.459          -12.100          -11.044         0.17321E+00    0.17321E+00    0
   55   59         5    9        0.77833        323.873        316.532          -17.100          -12.631         0.17321E+00    0.17348E+00    1
   55   59         6   10        0.70797        353.265        345.777          -15.200          -11.309         0.17321E+00    0.17558E+00    1
   59   55        50   54        0.44085        400.253        395.010          -12.000          -11.101         0.17321E+00    0.17321E+00    0
   56   60         5    9        0.81644        219.996        213.545          -14.300          -12.597         0.17321E+00    0.19115E+00    1
   60   56        51   55        0.26611        206.553        205.063          -14.400          -11.134         0.17321E+00    0.17321E+00    0
   57   61         5    9        0.15866        196.318        195.441          -14.700          -13.143         0.17321E+00    0.17321E+00    0
   61   57        50   54        0.07808        198.578        198.183          -12.100          -10.889         0.17321E+00    0.17321E+00    0
   58   62         5    9        0.90293        176.701        171.398          -17.400          -15.655         0.17321E+00    0.18394E+00    1
   62   58        50   54        0.07626        240.494        241.025          -10.000          -10.580         0.17321E+00    0.17321E+00    0
   62   58        51   55        0.20609        262.928        261.311           -9.600          -10.081         0.17321E+00    0.17321E+00    0
   59   63         5    9        1.00144        135.126        129.431          -17.500          -20.337         0.17321E+00    0.20747E+00    1
   63   59        50   54        0.24127        244.551        246.324           -9.500           -9.883         0.17321E+00    0.17321E+00    0
   63   59        51   55        0.09673        274.060        273.278           -8.800           -9.336         0.17321E+00    0.17321E+00    0
   64   60        50   54        0.22251        266.340        268.110           -8.600           -9.390         0.17321E+00    0.17321E+00    0
   64   60        51   55        0.13889        305.628        304.387           -7.900           -8.829         0.17321E+00    0.17321E+00    0
   65   61        50   54        0.15314        280.633        281.895           -7.800           -8.762         0.17321E+00    0.17321E+00    0
   65   61        51   55        0.10842        327.052        326.037           -7.200           -8.183         0.17321E+00    0.17321E+00    0
   66   62         5    9        1.12589       -527.010       -553.412            3.200            1.891         0.17321E+00    0.20840E+00    1
   66   62        50   54        0.47063        291.356        287.303           -6.300           -8.163         0.17321E+00    0.17321E+00    0
   66   62        51   55        0.67313        344.597        337.724           -6.000           -7.558         0.17321E+00    0.17321E+00    0
   67   63        50   54        0.22754        274.803        276.583           -5.800           -7.972         0.17321E+00    0.17321E+00    0
   67   63        51   55        0.08003        331.101        330.634           -5.400           -7.352         0.17321E+00    0.17321E+00    0
   68   64        50   54        0.14471        235.580        236.454           -5.900           -8.145         0.17321E+00    0.17321E+00    0
   68   64        51   55        0.12583        287.716        286.834           -5.300           -7.514         0.17321E+00    0.17321E+00    0
   69   65         6   10        1.26765        881.596        920.650            4.700           -2.943         0.17321E+00    0.18632E+00    1
   69   65        50   54        0.38822        179.812        177.876           -4.300           -8.674         0.17321E+00    0.17321E+00    0
   69   65        51   55        0.81209        223.835        218.475           -5.400           -8.033         0.17321E+00    0.17321E+00    0
   70   66         6   10        0.65668        262.670        266.954            4.700           -6.532         0.17321E+00    0.17321E+00    0
